segment,customers,observed_gmv_brl,average_observed_gmv_brl,customer_share,observed_gmv_share
At-risk high-value,12790,4472143.43,349.65937685691944,0.13699950727307783,0.33824785911496075
Lapsed one-time,40896,2849061.74,69.66602455007825,0.43805565671929564,0.21548705875056093
Mid-cycle one-time,19026,2698906.27,141.8535829916956,0.20379613959167933,0.20413014074091185
Recent high-value,4208,1508902.41,358.5794700570342,0.04507380192377729,0.1141249196911166
Recent first-time,13637,964075.51,70.69557160665836,0.14607210951391417,0.07291726716436372
Lapsed repeat,1566,396186.69,252.99277777777777,0.016774138263458943,0.029965340289263183
Active repeat,1235,332222.06,269.0057165991903,0.013228646714796803,0.025127414248822973
